trial,experiment,diff_bits,total_bits,diff_bytes,total_bytes,diff_sum_bytes,bit_avalanche_percent,bit_npcr_percent,byte_npcr_percent,byte_uaci_percent,key_a,key_b,key_diff_bit_percent
1,Bit_Perturbation,54,512,24,64,1217,10.546875,10.546875,37.5,7.457107843137255,,,
2,Bit_Perturbation,103,512,31,64,2062,20.1171875,20.1171875,48.4375,12.634803921568627,,,
3,Bit_Perturbation,100,512,31,64,2363,19.53125,19.53125,48.4375,14.479166666666668,,,
4,Bit_Perturbation,79,512,28,64,1649,15.4296875,15.4296875,43.75,10.104166666666666,,,
5,Bit_Perturbation,93,512,27,64,2361,18.1640625,18.1640625,42.1875,14.466911764705884,,,
6,Bit_Perturbation,98,512,29,64,2371,19.140625,19.140625,45.3125,14.528186274509805,,,
7,Bit_Perturbation,109,512,31,64,2784,21.2890625,21.2890625,48.4375,17.058823529411764,,,
8,Bit_Perturbation,99,512,28,64,2338,19.3359375,19.3359375,43.75,14.325980392156861,,,
9,Bit_Perturbation,113,512,31,64,2282,22.0703125,22.0703125,48.4375,13.982843137254902,,,
10,Bit_Perturbation,99,512,29,64,2236,19.3359375,19.3359375,45.3125,13.700980392156865,,,
11,Bit_Perturbation,105,512,30,64,1919,20.5078125,20.5078125,46.875,11.758578431372548,,,
12,Bit_Perturbation,89,512,25,64,2200,17.3828125,17.3828125,39.0625,13.480392156862745,,,
13,Bit_Perturbation,84,512,28,64,1874,16.40625,16.40625,43.75,11.482843137254902,,,
14,Bit_Perturbation,87,512,27,64,2048,16.9921875,16.9921875,42.1875,12.549019607843137,,,
15,Bit_Perturbation,118,512,32,64,2529,23.046875,23.046875,50.0,15.496323529411764,,,
16,Bit_Perturbation,108,512,31,64,2498,21.09375,21.09375,48.4375,15.30637254901961,,,
17,Bit_Perturbation,80,512,27,64,1594,15.625,15.625,42.1875,9.767156862745098,,,
18,Bit_Perturbation,102,512,31,64,1909,19.921875,19.921875,48.4375,11.697303921568627,,,
19,Bit_Perturbation,90,512,30,64,1727,17.578125,17.578125,46.875,10.582107843137255,,,
20,Bit_Perturbation,53,512,21,64,941,10.3515625,10.3515625,32.8125,5.76593137254902,,,
21,Bit_Perturbation,114,512,31,64,2579,22.265625,22.265625,48.4375,15.802696078431373,,,
22,Bit_Perturbation,88,512,29,64,2328,17.1875,17.1875,45.3125,14.26470588235294,,,
23,Bit_Perturbation,88,512,28,64,2459,17.1875,17.1875,43.75,15.067401960784313,,,
24,Bit_Perturbation,73,512,26,64,2044,14.2578125,14.2578125,40.625,12.524509803921568,,,
25,Bit_Perturbation,80,512,25,64,1851,15.625,15.625,39.0625,11.341911764705882,,,
26,Bit_Perturbation,82,512,30,64,1959,16.015625,16.015625,46.875,12.003676470588236,,,
27,Bit_Perturbation,77,512,27,64,1659,15.0390625,15.0390625,42.1875,10.165441176470589,,,
28,Bit_Perturbation,94,512,29,64,2544,18.359375,18.359375,45.3125,15.588235294117647,,,
29,Bit_Perturbation,124,512,31,64,3046,24.21875,24.21875,48.4375,18.66421568627451,,,
30,Bit_Perturbation,79,512,26,64,1832,15.4296875,15.4296875,40.625,11.225490196078432,,,
31,Bit_Perturbation,97,512,30,64,2655,18.9453125,18.9453125,46.875,16.268382352941178,,,
32,Bit_Perturbation,66,512,24,64,1747,12.890625,12.890625,37.5,10.704656862745097,,,
33,Bit_Perturbation,114,512,30,64,2506,22.265625,22.265625,46.875,15.355392156862745,,,
