schedule,rounds,changed_bits_mean,avalanche_percent_mean,bit_npcr_percent_mean,byte_npcr_percent_mean,byte_uaci_percent_mean,time_per_block_ms,reversibility_passed
Schedule_A,2,1.6,0.625,0.625,4.4375,0.5003676470588235,0.5793675000313669,True
Schedule_A,4,1.92,0.75,0.75,4.5625,0.5651960784313725,0.9531350003089756,True
Schedule_A,6,2.06,0.8046875,0.8046875,4.8125,0.7618872549019607,1.3481464999495074,True
Schedule_A,8,2.52,0.984375,0.984375,5.3125,0.9536764705882352,1.7213469999842346,True
Schedule_A,10,2.25,0.87890625,0.87890625,5.125,0.7205882352941176,2.082277500303462,True
Schedule_A,16,2.48,0.96875,0.96875,5.625,0.942156862745098,3.288541999645531,True
Schedule_A,20,2.12,0.828125,0.828125,4.90625,0.5101715686274509,3.9775689999805763,True
Schedule_A,32,2.36,0.921875,0.921875,5.375,0.8107843137254902,6.229203499970026,True
Schedule_B,2,4.12,1.609375,1.609375,8.71875,1.3639705882352942,0.5026580003323033,True
Schedule_B,4,6.3100000000000005,2.46484375,2.46484375,12.71875,1.7138480392156863,0.8093904994893819,True
Schedule_B,6,8.99,3.51171875,3.51171875,17.34375,2.396200980392157,1.1071869998704642,True
Schedule_B,8,12.18,4.7578125,4.7578125,23.59375,3.78125,1.4477005001390353,True
Schedule_B,10,16.88,6.59375,6.59375,30.90625,5.32389705882353,1.7044494999572635,True
Schedule_B,16,36.06,14.0859375,14.0859375,52.96875,10.603921568627452,2.692030500038527,True
Schedule_B,20,50.47,19.71484375,19.71484375,68.21875,14.076960784313727,3.225199999869801,True
Schedule_B,32,95.17,37.17578125,37.17578125,94.21875,26.445710784313725,4.997068000375293,True
Schedule_C,2,4.12,1.609375,1.609375,9.5,1.4512254901960784,0.41715750005096197,True
Schedule_C,4,12.25,4.78515625,4.78515625,22.0,3.666299019607843,0.6407780002336949,True
Schedule_C,6,27.080000000000002,10.578125,10.578125,41.0625,8.48860294117647,0.8829540002625436,True
Schedule_C,8,53.09,20.73828125,20.73828125,64.5,15.269240196078432,1.1100410000653937,True
Schedule_C,10,81.92,32.0,32.0,85.0,22.83970588235294,1.326602500048466,True
Schedule_C,16,125.71000000000001,49.10546875,49.10546875,99.15625,33.05649509803922,1.985644000233151,True
Schedule_C,20,127.08,49.640625,49.640625,99.65625,33.42279411764706,2.4228339997353032,True
Schedule_C,32,126.83,49.54296875,49.54296875,99.625,32.981127450980395,3.7359599996125326,True
Schedule_D,2,4.12,1.609375,1.609375,9.46875,1.4033088235294118,0.5744980002054945,True
Schedule_D,4,12.25,4.78515625,4.78515625,22.0,3.573651960784314,0.9564580000005662,True
Schedule_D,6,27.080000000000002,10.578125,10.578125,41.21875,8.679656862745098,1.488975000102073,True
Schedule_D,8,53.09,20.73828125,20.73828125,64.5,15.269240196078432,1.7625394999049604,True
Schedule_D,10,81.92,32.0,32.0,84.625,22.828676470588235,2.119796499609947,True
Schedule_D,16,125.71000000000001,49.10546875,49.10546875,99.15625,33.05649509803922,3.2233729999279603,True
Schedule_D,20,127.08,49.640625,49.640625,99.65625,33.00122549019608,3.9773470000363886,True
Schedule_D,32,126.83,49.54296875,49.54296875,99.625,32.981127450980395,6.366284500109032,True
Schedule_E,2,1.6,0.625,0.625,4.4375,0.5099264705882353,0.5775609996635467,True
Schedule_E,4,1.92,0.75,0.75,4.5625,0.7621323529411765,0.9633034997386858,True
Schedule_E,6,2.06,0.8046875,0.8046875,4.8125,0.5626225490196078,1.320950499502942,True
Schedule_E,8,2.52,0.984375,0.984375,5.3125,0.9041666666666667,1.69681950006634,True
Schedule_E,10,2.25,0.87890625,0.87890625,5.125,0.6072303921568628,2.0766145002562553,True
Schedule_E,16,2.48,0.96875,0.96875,5.625,0.942156862745098,3.236925500095822,True
Schedule_E,20,2.12,0.828125,0.828125,4.90625,0.7520833333333333,4.008787500206381,True
Schedule_E,32,2.36,0.921875,0.921875,5.375,0.8107843137254902,6.36055699957069,True
