candidate,rounds,changed_bits_mean,bit_avalanche_mean,bit_npcr_mean,byte_npcr_mean,byte_uaci_mean,encryption_time_ms,std_time_ms,reversibility_pass,healthcare_recovery_pass
Candidate_A,2,1.6,0.625,0.625,4.4375,0.5003676470588235,0.4271150042768568,0.09317615056838718,True,True
Candidate_A,4,1.92,0.75,0.75,4.5625,0.5651960784313725,0.7639350020326674,0.01811316516398032,True,True
Candidate_A,6,2.06,0.8046875,0.8046875,4.8125,0.7618872549019607,1.1590100184548646,0.08585364631146301,True,True
Candidate_A,8,2.52,0.984375,0.984375,5.3125,0.9536764705882352,1.5307950088754296,0.09982315651728385,True,True
Candidate_A,10,2.25,0.87890625,0.87890625,5.125,0.7205882352941176,1.8673400103580207,0.07579418216774543,True,True
Candidate_A,16,2.48,0.96875,0.96875,5.625,0.942156862745098,3.065944986883551,0.11194864521381359,True,True
Candidate_B,2,4.12,1.609375,1.609375,9.5,1.4512254901960784,0.225650001084432,0.005357093374592971,True,True
Candidate_B,4,12.25,4.78515625,4.78515625,22.0,3.666299019607843,0.44262000010348856,0.002893838865567825,True,True
Candidate_B,6,27.080000000000002,10.578125,10.578125,41.0625,8.48860294117647,0.6685599975753576,0.02077846853726097,True,True
Candidate_B,8,53.09,20.73828125,20.73828125,64.5,15.269240196078432,0.9182800014968961,0.09245683833096721,True,True
Candidate_B,10,81.92,32.0,32.0,85.0,22.83970588235294,1.1506049952004105,0.10759101494124355,True,True
Candidate_B,16,125.71000000000001,49.10546875,49.10546875,99.15625,33.05649509803922,1.7671900102868676,0.0680914922553385,True,True
Candidate_C,2,4.12,1.609375,1.609375,9.46875,1.4033088235294118,0.388565007597208,0.04403361734168613,True,True
Candidate_C,4,12.25,4.78515625,4.78515625,22.0,3.573651960784314,0.7465650036465377,0.018780630058388773,True,True
Candidate_C,6,27.080000000000002,10.578125,10.578125,41.21875,8.679656862745098,1.2368349940516055,0.23982323035623224,True,True
Candidate_C,8,53.09,20.73828125,20.73828125,64.5,15.269240196078432,1.5500599925871938,0.04788419692562929,True,True
Candidate_C,10,81.92,32.0,32.0,84.625,22.828676470588235,1.910110004246235,0.05909122849211891,True,True
Candidate_C,16,125.71000000000001,49.10546875,49.10546875,99.15625,33.05649509803922,3.1112249940633774,0.4072430286578712,True,True
Candidate_D,2,4.12,1.609375,1.609375,8.71875,1.3639705882352942,0.30144499614834785,0.005572256661453629,True,True
Candidate_D,4,6.3100000000000005,2.46484375,2.46484375,12.71875,1.7138480392156863,0.5935900029726326,0.013096285833258265,True,True
Candidate_D,6,8.99,3.51171875,3.51171875,17.34375,2.396200980392157,0.9065450052730739,0.01593250810697924,True,True
Candidate_D,8,12.18,4.7578125,4.7578125,23.59375,3.78125,1.2073750025592744,0.02823026648030143,True,True
Candidate_D,10,16.88,6.59375,6.59375,30.90625,5.32389705882353,1.510660001076758,0.061810168745648035,True,True
Candidate_D,16,36.06,14.0859375,14.0859375,52.96875,10.603921568627452,2.4201499938499182,0.051327421042804265,True,True
