trial,rounds,diff_bits,bit_avalanche_percent,bit_npcr_percent,byte_npcr_percent,byte_uaci_percent
1,2,2,0.78125,0.78125,6.25,3.1372549019607843
2,2,1,0.390625,0.390625,3.125,0.049019607843137254
3,2,6,2.34375,2.34375,9.375,0.07352941176470588
4,2,3,1.171875,1.171875,9.375,0.07352941176470588
5,2,4,1.5625,1.5625,12.5,4.7181372549019605
6,2,6,2.34375,2.34375,12.5,0.46568627450980393
7,2,4,1.5625,1.5625,12.5,3.161764705882353
8,2,5,1.953125,1.953125,12.5,0.19607843137254902
9,2,5,1.953125,1.953125,6.25,0.39215686274509803
10,2,3,1.171875,1.171875,6.25,1.2745098039215685
11,2,4,1.5625,1.5625,12.5,1.200980392156863
12,2,3,1.171875,1.171875,6.25,0.09803921568627451
13,2,7,2.734375,2.734375,12.5,0.7843137254901961
14,2,5,1.953125,1.953125,12.5,3.21078431372549
15,2,8,3.125,3.125,12.5,2.941176470588235
16,2,5,1.953125,1.953125,15.625,6.286764705882353
17,2,3,1.171875,1.171875,6.25,0.049019607843137254
18,2,3,1.171875,1.171875,6.25,0.49019607843137253
19,2,5,1.953125,1.953125,12.5,0.39215686274509803
20,2,3,1.171875,1.171875,9.375,1.1764705882352942
21,2,3,1.171875,1.171875,6.25,1.5931372549019607
22,2,4,1.5625,1.5625,9.375,1.200980392156863
23,2,5,1.953125,1.953125,9.375,1.605392156862745
24,2,2,0.78125,0.78125,6.25,0.29411764705882354
25,2,6,2.34375,2.34375,15.625,1.7892156862745097
26,2,2,0.78125,0.78125,6.25,3.1372549019607843
27,2,1,0.390625,0.390625,3.125,0.049019607843137254
28,2,5,1.953125,1.953125,9.375,1.7034313725490196
29,2,3,1.171875,1.171875,6.25,0.19607843137254902
30,2,9,3.515625,3.515625,12.5,2.549019607843137
31,2,1,0.390625,0.390625,3.125,0.024509803921568627
32,2,4,1.5625,1.5625,12.5,0.8088235294117648
33,2,3,1.171875,1.171875,9.375,1.629901960784314
34,2,1,0.390625,0.390625,3.125,0.7843137254901961
35,2,4,1.5625,1.5625,9.375,0.5147058823529411
36,2,3,1.171875,1.171875,9.375,1.629901960784314
37,2,4,1.5625,1.5625,12.5,4.7181372549019605
38,2,2,0.78125,0.78125,6.25,0.09803921568627451
39,2,10,3.90625,3.90625,12.5,0.4411764705882353
40,2,5,1.953125,1.953125,12.5,0.1715686274509804
41,2,5,1.953125,1.953125,12.5,3.5416666666666665
42,2,9,3.515625,3.515625,25.0,6.495098039215687
43,2,2,0.78125,0.78125,3.125,0.07352941176470588
44,2,1,0.390625,0.390625,3.125,0.39215686274509803
45,2,2,0.78125,0.78125,3.125,0.29411764705882354
46,2,6,2.34375,2.34375,9.375,1.5808823529411764
47,2,4,1.5625,1.5625,12.5,3.21078431372549
48,2,5,1.953125,1.953125,12.5,3.2475490196078436
49,2,5,1.953125,1.953125,15.625,1.715686274509804
50,2,3,1.171875,1.171875,9.375,0.7965686274509803
51,2,2,0.78125,0.78125,6.25,3.1372549019607843
52,2,3,1.171875,1.171875,9.375,0.29411764705882354
53,2,3,1.171875,1.171875,6.25,0.19607843137254902
54,2,6,2.34375,2.34375,12.5,1.7647058823529411
55,2,1,0.390625,0.390625,3.125,0.024509803921568627
56,2,4,1.5625,1.5625,6.25,0.3431372549019608
57,2,5,1.953125,1.953125,6.25,0.2696078431372549
58,2,2,0.78125,0.78125,6.25,0.22058823529411764
59,2,7,2.734375,2.734375,9.375,0.24509803921568626
60,2,5,1.953125,1.953125,12.5,1.200980392156863
61,2,5,1.953125,1.953125,12.5,2.377450980392157
62,2,3,1.171875,1.171875,9.375,3.1495098039215685
63,2,4,1.5625,1.5625,12.5,0.6127450980392157
